名称,策略类型,单张费用消耗,数量,包含版本,说明更新版本,卡牌效果,,总费用消耗,统计数值,
布局 · I,即时行动,1,4,Vol.1,v1.0,"弃置(1)张手牌
  指定(1)位「调查员」
  弃置(1)张对其布置的「个体机制」",,9,「策略」卡牌种类 = ,==COUNTA(A2:A100)
不可直视神 · I,个体机制,4,1,Vol.2,v1.0,"对(1)位「调查员」布置，持续生效
其不能成为
任何「策略」卡牌的指定对象",,4,「策略」卡牌数量 = ,==SUM(D2:D100)
沉沦 · I,个体机制,3,3,Vol.2,v1.0,"对(1)位「调查员」布置
其调查到【禁忌真相】时
消耗的「SAN」+ (1)
若其调查到【禁忌真相】时
  仅剩(1)点「SAN」
  则不消耗而是恢复(1)点「SAN」
生效后弃置",,8,平均费用消耗 = ,==SUM(I2:I100)/100
沉沦 · II,个体机制,2,2,Vol.2,v1.0,"对你自己布置，持续生效
所有「调查员」的「调查范围」 + (1)",,12,「个体机制」卡牌数量 = ,"==SUMIF(B2:B100,""个体机制"",D2:D100)"
砥砺前行 · I,即时行动,3,1,Vol.2,v1.0,"  将场上所有已布置的「个体机制」
转移布置到你身上",,4,「即时行动」卡牌数量 = ,"==SUMIF(B2:B101,""即时行动"",D2:D101)"
俄罗斯转轮 · I,即时行动,4,2,Vol.2,v1.0,"  指定(1)位其他队伍的「调查员」
你与其立刻轮流进行不中断的调查
每次调查(1)张「情报」卡牌
直至共计调查(6)张
或有一方拒绝调查
拒绝调查的「调查员」受到胁迫 + (4)",,8,Vol.1「策略」卡牌种类 = ,"==COUNTIF(E2:E100,""vol.1"")"
反转 · I,即时行动,1,2,Vol.1,v1.0,"反转

*反转：反转当前的调查顺序
将所有「顺位指示卡」翻面",,3,Vol.2「策略」卡牌种类 = ,"==COUNTIF(E2:E100,""vol.2"")"
反转 · II,即时行动,2,2,Vol.1,v1.0,"反转并跳过

*反转：反转当前的调查顺序
将所有「顺位指示卡」翻面
  *跳过：你在当前的「操作阶段」
无需且不能调查",,8,,
回溯 · I,即时行动,2,2,Vol.2,v1.0,"  从「情报弃牌区」
选取(1)张「情报」卡牌
私下对其调整

*调整：将卡牌放回对应卡组的
最上、最下、或其原位",,3,,
禁忌仪式 · I,即时行动,3,1,Vol.2,v1.0,"  将「辅助」卡牌：【禁忌仪式】
私下放入「情报卡组」的任意位置

此卡牌被使用或弃置后
  将其洗回「策略卡组」",,1,,
傀儡 · I,即时行动,3,4,Vol.1,v1.0,"若你在当前「操作阶段」未进行调查
你立刻进行调查
  然后指定另(1)位「调查员」
立刻进行调查
数量等同于你调查的数量",,2,,
窥探 · I,即时行动,1,5,Vol.1,v1.0,"窥探(3)张「情报」卡牌

  若同时使用多张【窥探 · I】
窥探的「情报」卡牌数量累加

*窥探：私下（队内）顺序查看(N)张
「情报」卡牌，并将其原样放回",,4,,
窥探 · II,即时行动,1,5,Vol.1,v1.0,"掷(1)个骰子
窥探(N)张「情报」卡牌
(N) = 掷出的骰子点数

  若同时使用多张【窥探 · II】
投掷的骰子数量累加",,4,,
窥探 · III,即时行动,1,5,Vol.1,v1.0,"从「情报卡组」底部向上
窥探(3)张「情报」卡牌

  若同时使用多张【窥探 · III】
窥探的「情报」卡牌数量累加

*窥探：私下（队内）顺序查看(N)张
「情报」卡牌，并将其原样放回  ",,3,,
窥探 · IV,即时行动,1,5,Vol.1,v1.0,"掷(1)个骰子
从「情报卡组」底部向上
窥探(N)张「情报」卡牌
(N) = 掷出的骰子点数

  若同时使用多张【窥探 · IV】
投掷的骰子数量累加",,4,,
埋葬过去 · I,即时行动,1,2,Vol.1,v1.0,"弃置(2)张手牌
从「策略弃牌区」选择(2)张卡牌
加入你的手牌

此卡牌被使用或弃置后
  将其洗回「策略卡组」",,2,,
盲从 · I,个体机制,3,4,Vol.1,v1.0,"对(1)位「调查员」布置
  其下一个「操作阶段」
受到盲从效果
生效后弃置

*盲从：进入「操作阶段」后
必须首先进行调查",,4,,
内化 · I,即时行动,3,4,Vol.2,v1.0,"从顶部弃置剩「情报卡组」的一半
张数向下取整
若【禁忌真相】在被弃置的卡牌中
  将其洗回剩余的「情报卡组」",,12,,
凝视 · I,即时行动,2,2,Vol.2,v1.0,"正向窥探(2)张「情报」卡牌
并私下分别对其调整

*调整：将卡牌放回对应卡组的
最上、最下、或其原位",,4,,
平衡 · I,即时行动,1,3,Vol.1,v1.0,"从「策略卡组」抽(2)张牌
加入你的手牌",,3,,
平衡 · II,即时行动,2,2,Vol.1,v1.0,"  指定(1)位「指挥者」
你从其手牌抽(2)张牌
加入你的手牌",,5,,
平衡 · III,即时行动,1,1,Vol.1,v1.0,"  所有「指挥者」立即按「调查顺位」
从「策略卡组」抽(2)张牌
加入各自的手牌",,5,,
破釜沉舟 · I,即时行动,4,1,Vol.2,v1.0,"弃置场上所有已布置的
「个体机制」",,5,,
破釜沉舟 · II,即时行动,4,1,Vol.2,v1.0,弃置所有「指挥者」的手牌,,5,,
跳过 · I,即时行动,1,4,Vol.1,v1.0,"对自己使用一次跳过

*跳过：你在当前的「操作阶段」
  无需且不能调查",,2,,
跳过 · II,个体机制,2,2,Vol.1,v1.0,"对(1)位「调查员」布置
  其可以在任意(1)个「操作阶段」
执行一次跳过
生效后弃置

*跳过：你在当前的「操作阶段」
  无需且不能调查",,12,,
调整 · I,即时行动,2,2,Vol.2,v1.0,"窥探第(N)张「情报」卡牌
(N)由你指定
然后私下对窥探的「情报」卡牌
进行调整

*调整：将卡牌放回对应卡组的
最上、最下、或其原位",,4,,
偷天换日 · I,即时行动,2,1,Vol.2,v1.0,"交换你与另一位「指挥者」的手牌
你的「操作阶段」结束时
再次与其交换",,3,,
献祭 · I,即时行动,2,2,Vol.2,v1.0,"  消耗(1)点「SAN」
  指定(1)位「调查员」
  使其增加(1)点「SAN」
不能超过其「SAN」上限
可以对「陷入疯狂」的「调查员」使用
  使其「恢复清醒」",,4,,
献祭 · II,即时行动,4,2,Vol.2,v1.0,"  消耗(1)点「SAN」
  指定(1)位「调查员」
  使其消耗(1)点「SAN」
  无法指定「SAN」≤ (1)的「调查员」",,1,,
胁迫 · I,个体机制,0,8,Vol.1,v1.0,"对(1)位「调查员」布置
其下一次调查受到胁迫 + (N)
(N) = 你支付的费用
只能用(1)张「情报」卡牌支付此卡费用

*胁迫：调查的「情报」卡牌 + (N)
N取决于胁迫后的数字",,4,,
信仰 · I,即时行动,0,1,Vol.2,v1.0,"弃置(2)张手牌
  从(1)个其他队伍的「情报区」
选取(1)张「情报」卡牌
  加入你的「情报区」",,4,,
虚假信仰 · I,个体机制,3,1,Vol.2,v1.0,"对你自己布置，持续生效
  所有「SAN」不满的清醒「调查员」
获得(1)点临时「SAN」(加一个骰子)
「调查员」可以选择消耗哪个「SAN」
临时「SAN」不影响技能触发
当此卡牌被从场上移除
  移除所有临时「SAN」",,4,,
异时癖 · I,个体机制,3,2,Vol.2,v1.0,"对(1)位「调查员」布置
  其下(1)个「操作阶段」
直接被跳过
生效后弃置",,2,,
圆滑 · I,即时行动,2,4,Vol.1,v1.0,"交换任意(2)位「调查员」的
「调查顺位」",,4,,
照亮前路 · I,个体机制,2,4,Vol.1,v1.0,"对(1)位「调查员」布置
当有「策略」卡牌对其布置或生效时
可以使该卡牌无效，并直接弃置
生效后弃置",,8,,
直视神 · I,个体机制,3,1,Vol.2,v1.0,"对(1)位「调查员」布置
其调查到【禁忌真相】时
将【禁忌真相】洗入
  剩余的「情报卡组」
该「轮」游戏继续
生效后弃置",,0,,
钻研 · I,个体机制,1,1,Vol.2,v1.0,"对(1)位「调查员」布置
  其可以在任意(1)个「操作阶段」
从「情报卡组」底部向上
反向执行(1)次调查
生效后弃置",,6,,
钻研 · II,个体机制,2,1,Vol.2,v1.0,"对(1)位「调查员」布置
  其可以在任意(1)个「操作阶段」
执行(2)次调查
生效后弃置",,8,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
